uri,parentweburi,title,description,locale,template,size,lastmodified
https://mydepartment.brighton.ac.uk/cem,,"School of Computing, Engineering and Mathematics","A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,"89,410.02",12/20/2018 11:00:15
https://mydepartment.brighton.ac.uk/cem/committees,https://mydepartment.brighton.ac.uk/cem,Committees/Meetings,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,"1,433.52",12/04/2018 11:01
https://mydepartment.brighton.ac.uk/cem/committees/AS,https://mydepartment.brighton.ac.uk/cem/committees,Athena Swan,,en-GB,STS,153.74,12/03/2018 10:31
https://mydepartment.brighton.ac.uk/cem/committees/bos,https://mydepartment.brighton.ac.uk/cem/committees,School Board,,en-GB,STS,187.45,10/17/2017 14:24:30
https://mydepartment.brighton.ac.uk/cem/committees/clg,https://mydepartment.brighton.ac.uk/cem/committees,Course Leaders Group,,en-GB,STS,24,11/28/2018 12:55:13
https://mydepartment.brighton.ac.uk/cem/committees/Course Boards,https://mydepartment.brighton.ac.uk/cem/committees,Course Boards,,en-GB,STS,49.41,12/19/2018 11:51:27
https://mydepartment.brighton.ac.uk/cem/committees/digital,https://mydepartment.brighton.ac.uk/cem/committees,School Digital Transformation Committee,,en-GB,STS,12.66,10/17/2017 14:25:09
https://mydepartment.brighton.ac.uk/cem/committees/DM,https://mydepartment.brighton.ac.uk/cem/committees,Divisional Meetings,,en-GB,STS,26.6,12/12/2018 13:51
https://mydepartment.brighton.ac.uk/cem/committees/healthSafety,https://mydepartment.brighton.ac.uk/cem/committees,Health and Safety,,en-GB,STS,4.59,11/29/2018 12:01:28
https://mydepartment.brighton.ac.uk/cem/committees/IAB,https://mydepartment.brighton.ac.uk/cem/committees,Industrial Advisory Board,,en-GB,STS,10.17,12/17/2018 12:15:31
https://mydepartment.brighton.ac.uk/cem/committees/IAB/Corporate Dy viewing,https://mydepartment.brighton.ac.uk/cem/committees/IAB,Corporate Dy viewing,,en-GB,MPS,0.38,10/15/2018 12:59:04
https://mydepartment.brighton.ac.uk/cem/committees/marketing,https://mydepartment.brighton.ac.uk/cem/committees,Marketing and Recruitment,,en-GB,STS,2.99,10/16/2018 09:24:55
https://mydepartment.brighton.ac.uk/cem/committees/Mit Circs Committee (MCC),https://mydepartment.brighton.ac.uk/cem/committees,Mit Circs Committee (MCC),,en-GB,MPS,0.43,10/15/2018 12:59:04
https://mydepartment.brighton.ac.uk/cem/committees/retention,https://mydepartment.brighton.ac.uk/cem/committees,Retention Strategy,,en-GB,STS,2,10/17/2017 14:25:13
https://mydepartment.brighton.ac.uk/cem/committees/rsg,https://mydepartment.brighton.ac.uk/cem/committees,Research and Enterprise Committee,,en-GB,STS,57.48,11/05/2018 08:28
https://mydepartment.brighton.ac.uk/cem/committees/scac,https://mydepartment.brighton.ac.uk/cem/committees,School Academic Scrutiny Committee,,en-GB,STS,462.53,10/17/2017 14:24:37
https://mydepartment.brighton.ac.uk/cem/committees/SESEC,https://mydepartment.brighton.ac.uk/cem/committees,School Education and Student Experience Committee,,en-GB,STS,0.87,12/06/2018 12:17
https://mydepartment.brighton.ac.uk/cem/committees/smg,https://mydepartment.brighton.ac.uk/cem/committees,School Management Group,,en-GB,STS,398.21,12/17/2018 09:30:57
https://mydepartment.brighton.ac.uk/cem/committees/srg,https://mydepartment.brighton.ac.uk/cem/committees,School Resources Group,,en-GB,STS,13.5,12/06/2018 10:29
https://mydepartment.brighton.ac.uk/cem/committees/survey,https://mydepartment.brighton.ac.uk/cem/committees,Staff survey,,en-GB,STS,2.7,10/01/2018 15:02
https://mydepartment.brighton.ac.uk/cem/committees/UAB,https://mydepartment.brighton.ac.uk/cem/committees,University Academic Board,,en-GB,STS,0.68,10/30/2018 11:58:53
https://mydepartment.brighton.ac.uk/cem/committees/wsm,https://mydepartment.brighton.ac.uk/cem/committees,Whole School Meetings,,en-GB,STS,21.99,12/19/2018 11:45:46
https://mydepartment.brighton.ac.uk/cem/Div,https://mydepartment.brighton.ac.uk/cem,Division,,en-GB,STS,"15,288.82",10/17/2017 14:25:08
https://mydepartment.brighton.ac.uk/cem/Div/comp,https://mydepartment.brighton.ac.uk/cem/Div,Computing,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,"1,841.87",12/20/2018 12:01:11
https://mydepartment.brighton.ac.uk/cem/Div/comp/Accred,https://mydepartment.brighton.ac.uk/cem/Div/comp,Accreditation,,en-GB,STS,"1,516.51",10/17/2017 14:23:59
https://mydepartment.brighton.ac.uk/cem/Div/comp/PerRev,https://mydepartment.brighton.ac.uk/cem/Div/comp,Periodic Review,,en-GB,STS,12.68,10/17/2017 14:25:10
https://mydepartment.brighton.ac.uk/cem/Div/comp/placements,https://mydepartment.brighton.ac.uk/cem/Div/comp,Computing Placements,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,32.54,12/20/2018 12:08:32
https://mydepartment.brighton.ac.uk/cem/Div/EPD,https://mydepartment.brighton.ac.uk/cem/Div,Engineering,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,"12,573.34",12/20/2018 00:50:24
https://mydepartment.brighton.ac.uk/cem/Div/EPD/Accred,https://mydepartment.brighton.ac.uk/cem/Div/EPD,Accreditation,,en-GB,STS,0.92,09/28/2018 12:18:41
https://mydepartment.brighton.ac.uk/cem/Div/EPD/CANDR,https://mydepartment.brighton.ac.uk/cem/Div/EPD,Control and renewables,,en-GB,STS,7.17,10/17/2017 14:25:16
https://mydepartment.brighton.ac.uk/cem/Div/EPD/review,https://mydepartment.brighton.ac.uk/cem/Div/EPD,EPD Periodic Review,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,65.37,10/17/2017 14:25:51
https://mydepartment.brighton.ac.uk/cem/Div/maths,https://mydepartment.brighton.ac.uk/cem/Div,Mathematical Sciences,"Mathematical Sciences division area
It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,872.93,12/20/2018 08:50:26
https://mydepartment.brighton.ac.uk/cem/Div/maths/Accred,https://mydepartment.brighton.ac.uk/cem/Div/maths,Accreditation,,en-GB,STS,0.68,10/17/2017 14:25:36
https://mydepartment.brighton.ac.uk/cem/Div/maths/PerRev,https://mydepartment.brighton.ac.uk/cem/Div/maths,Periodic Review,,en-GB,STS,2.09,10/17/2017 14:25:12
https://mydepartment.brighton.ac.uk/cem/EE,https://mydepartment.brighton.ac.uk/cem,External Examiners,,en-GB,STS,0.84,04/23/2018 15:50:56
https://mydepartment.brighton.ac.uk/cem/help,https://mydepartment.brighton.ac.uk/cem,Help,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,3.56,10/17/2017 14:25:19
https://mydepartment.brighton.ac.uk/cem/help/Test,https://mydepartment.brighton.ac.uk/cem/help,CEM Test,,en-GB,STS,1.58,12/16/2017 13:46:13
https://mydepartment.brighton.ac.uk/cem/help/Test/Exams,https://mydepartment.brighton.ac.uk/cem/help/Test,Exam Test,,en-GB,STS,0.86,10/17/2017 14:24:06
https://mydepartment.brighton.ac.uk/cem/help/TS,https://mydepartment.brighton.ac.uk/cem/help,Technical Support,,en-GB,STS,0.96,11/30/2017 13:15:16
https://mydepartment.brighton.ac.uk/cem/NewStaff,https://mydepartment.brighton.ac.uk/cem,New Staff,,en-GB,STS,0.87,12/07/2018 09:49
https://mydepartment.brighton.ac.uk/cem/OE,https://mydepartment.brighton.ac.uk/cem,Recruitment,,en-GB,STS,"5,204.70",10/17/2017 14:24:18
https://mydepartment.brighton.ac.uk/cem/OE/IND,https://mydepartment.brighton.ac.uk/cem/OE,Induction,,en-GB,STS,396.42,11/08/2018 11:34
https://mydepartment.brighton.ac.uk/cem/OE/Marketing,https://mydepartment.brighton.ac.uk/cem/OE,Marketing,,en-GB,STS,"2,481.38",12/20/2018 09:21:18
https://mydepartment.brighton.ac.uk/cem/OE/OpenDays,https://mydepartment.brighton.ac.uk/cem/OE,Open/Applicant Days,,en-GB,STS,"2,099.68",06/23/2018 12:57:55
https://mydepartment.brighton.ac.uk/cem/OE/Outreach,https://mydepartment.brighton.ac.uk/cem/OE,Outreach,,en-GB,STS,0.7,10/17/2017 14:25:18
https://mydepartment.brighton.ac.uk/cem/Operations,https://mydepartment.brighton.ac.uk/cem,Operations,,en-GB,STS,"1,842.24",10/17/2017 14:24:33
https://mydepartment.brighton.ac.uk/cem/Operations/admin,https://mydepartment.brighton.ac.uk/cem/Operations,Administration,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,109.41,12/20/2018 08:52:22
https://mydepartment.brighton.ac.uk/cem/Operations/Admissions,https://mydepartment.brighton.ac.uk/cem/Operations,Admissions,,en-GB,STS,41.71,12/03/2018 12:29
https://mydepartment.brighton.ac.uk/cem/Operations/Estates,https://mydepartment.brighton.ac.uk/cem/Operations,Estates,,en-GB,STS,7.69,11/09/2018 12:36
https://mydepartment.brighton.ac.uk/cem/Operations/Finance,https://mydepartment.brighton.ac.uk/cem/Operations,Finance,,en-GB,STS,6.58,12/20/2018 12:28:36
https://mydepartment.brighton.ac.uk/cem/Operations/HR,https://mydepartment.brighton.ac.uk/cem/Operations,Human Resources,"Human resources in the school of Computing, Engineering and Mathematics",en-GB,STS,4.32,12/19/2018 14:14:52
https://mydepartment.brighton.ac.uk/cem/Operations/HS,https://mydepartment.brighton.ac.uk/cem/Operations,Health and Safety,,en-GB,STS,12.97,10/04/2018 11:27
https://mydepartment.brighton.ac.uk/cem/Operations/IS,https://mydepartment.brighton.ac.uk/cem/Operations,International Students,,en-GB,STS,147.34,12/14/2018 11:54:05
https://mydepartment.brighton.ac.uk/cem/Operations/IS/Tier4,https://mydepartment.brighton.ac.uk/cem/Operations/IS,Tier 4,,en-GB,STS,0.68,10/17/2017 14:24:23
https://mydepartment.brighton.ac.uk/cem/Operations/Prize,https://mydepartment.brighton.ac.uk/cem/Operations,Prize Giving,,en-GB,STS,0.68,12/13/2018 13:34:51
https://mydepartment.brighton.ac.uk/cem/Operations/TB,https://mydepartment.brighton.ac.uk/cem/Operations,"Timetabling, Software and Rooms",,en-GB,STS,1.24,12/12/2018 08:18
https://mydepartment.brighton.ac.uk/cem/Operations/tech,https://mydepartment.brighton.ac.uk/cem/Operations,Technical Documents,,en-GB,STS,"1,509.63",12/03/2018 09:38
https://mydepartment.brighton.ac.uk/cem/PP,https://mydepartment.brighton.ac.uk/cem,Policies and Procedures,,en-GB,STS,99.18,10/17/2017 14:24:26
https://mydepartment.brighton.ac.uk/cem/PP/IE,https://mydepartment.brighton.ac.uk/cem/PP,Induction and Enrolment,,en-GB,STS,0.73,10/17/2017 14:24:24
https://mydepartment.brighton.ac.uk/cem/PP/SOPP,https://mydepartment.brighton.ac.uk/cem/PP,School Office Policies and Procedures,,en-GB,STS,1,03/06/2018 10:52
https://mydepartment.brighton.ac.uk/cem/PP/SWPP,https://mydepartment.brighton.ac.uk/cem/PP,School Wide Policies and Procedures,,en-GB,STS,96.78,12/19/2018 09:31:52
https://mydepartment.brighton.ac.uk/cem/Research,https://mydepartment.brighton.ac.uk/cem,Research,,en-GB,STS,"59,649.23",11/15/2018 12:35:11
https://mydepartment.brighton.ac.uk/cem/Research/Admin,https://mydepartment.brighton.ac.uk/cem/Research,Administration,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,39.41,12/20/2018 10:41:25
https://mydepartment.brighton.ac.uk/cem/Research/CAE,https://mydepartment.brighton.ac.uk/cem/Research,CAE,,en-GB,STS,2.24,08/03/2018 17:26
https://mydepartment.brighton.ac.uk/cem/Research/CR,https://mydepartment.brighton.ac.uk/cem/Research,Computing Research Group,,en-GB,STS,"21,824.06",10/17/2017 14:25:38
https://mydepartment.brighton.ac.uk/cem/Research/CR/CI,https://mydepartment.brighton.ac.uk/cem/Research/CR,Cultural Informatics,,en-GB,STS,"4,673.22",02/09/2018 10:07
https://mydepartment.brighton.ac.uk/cem/Research/CR/KEG,https://mydepartment.brighton.ac.uk/cem/Research/CR,Knowledge Engineering,,en-GB,STS,0.78,10/17/2017 14:25:24
https://mydepartment.brighton.ac.uk/cem/Research/CR/Sense,https://mydepartment.brighton.ac.uk/cem/Research/CR,Sense,,en-GB,STS,"17,148.04",10/15/2018 12:59:04
https://mydepartment.brighton.ac.uk/cem/Research/CR/UE,https://mydepartment.brighton.ac.uk/cem/Research/CR,User Experience,,en-GB,STS,0.68,10/17/2017 14:25:44
https://mydepartment.brighton.ac.uk/cem/Research/CR/VM,https://mydepartment.brighton.ac.uk/cem/Research/CR,Visual Modelling,,en-GB,STS,0.68,10/17/2017 14:24:58
https://mydepartment.brighton.ac.uk/cem/Research/CT,https://mydepartment.brighton.ac.uk/cem/Research,Computing Themes,,en-GB,STS,1.03,10/15/2018 12:59:04
https://mydepartment.brighton.ac.uk/cem/Research/Vetronics,https://mydepartment.brighton.ac.uk/cem/Research,Vetronics,,en-GB,STS,0.68,10/17/2017 14:25:27
https://mydepartment.brighton.ac.uk/cem/Research/VSRG,https://mydepartment.brighton.ac.uk/cem/Research,VSRG,,en-GB,STS,"37,778.37",12/18/2018 10:52:26
https://mydepartment.brighton.ac.uk/cem/Research/VSRG/SFV,https://mydepartment.brighton.ac.uk/cem/Research/VSRG,Starting From Values,For managing tasks and project team communications,en-GB,STS,754.16,12/05/2018 10:31
https://mydepartment.brighton.ac.uk/cem/teaching,https://mydepartment.brighton.ac.uk/cem,Learning and Teaching,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,"5,862.21",12/19/2018 22:57:57
https://mydepartment.brighton.ac.uk/cem/teaching/AE,https://mydepartment.brighton.ac.uk/cem/teaching,Assessment,,en-GB,STS,20.88,12/19/2018 13:09:56
https://mydepartment.brighton.ac.uk/cem/teaching/AM,https://mydepartment.brighton.ac.uk/cem/teaching,Academic Misconduct,,en-GB,STS,156.62,12/11/2018 12:49
https://mydepartment.brighton.ac.uk/cem/teaching/Appeals,https://mydepartment.brighton.ac.uk/cem/teaching,Appeals,,en-GB,STS,"1,500.12",12/14/2018 12:36:54
https://mydepartment.brighton.ac.uk/cem/teaching/complaints,https://mydepartment.brighton.ac.uk/cem/teaching,Complaints,,en-GB,STS,30.41,11/16/2018 14:15:27
https://mydepartment.brighton.ac.uk/cem/teaching/Courses,https://mydepartment.brighton.ac.uk/cem/teaching,Courses,,en-GB,STS,39.18,12/03/2018 14:26
https://mydepartment.brighton.ac.uk/cem/teaching/Courses/Comp,https://mydepartment.brighton.ac.uk/cem/teaching/Courses,Computing,,en-GB,STS,20.81,12/03/2018 14:30
https://mydepartment.brighton.ac.uk/cem/teaching/Courses/EPD,https://mydepartment.brighton.ac.uk/cem/teaching/Courses,Engineering,,en-GB,STS,15.22,10/17/2017 14:24:39
https://mydepartment.brighton.ac.uk/cem/teaching/Courses/MathSci,https://mydepartment.brighton.ac.uk/cem/teaching/Courses,Mathematical Sciences,,en-GB,STS,2.47,10/17/2017 14:24:22
https://mydepartment.brighton.ac.uk/cem/teaching/examboards,https://mydepartment.brighton.ac.uk/cem/teaching,Exam Boards,,en-GB,STS,"2,120.04",12/12/2018 10:52
https://mydepartment.brighton.ac.uk/cem/teaching/examboards/comp,https://mydepartment.brighton.ac.uk/cem/teaching/examboards,Computing,,en-GB,STS,561.01,10/12/2018 09:11
https://mydepartment.brighton.ac.uk/cem/teaching/examboards/epd,https://mydepartment.brighton.ac.uk/cem/teaching/examboards,Engineering,,en-GB,STS,622.98,11/29/2018 10:14:59
https://mydepartment.brighton.ac.uk/cem/teaching/examboards/maths,https://mydepartment.brighton.ac.uk/cem/teaching/examboards,Mathematical Sciences,,en-GB,STS,837.66,12/05/2018 12:01
https://mydepartment.brighton.ac.uk/cem/teaching/examboards/training,https://mydepartment.brighton.ac.uk/cem/teaching/examboards,Training,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,10.38,10/17/2017 14:24:27
https://mydepartment.brighton.ac.uk/cem/teaching/Exams,https://mydepartment.brighton.ac.uk/cem/teaching,Exams,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,"1,763.79",12/20/2018 12:30:36
https://mydepartment.brighton.ac.uk/cem/teaching/Extensions,https://mydepartment.brighton.ac.uk/cem/teaching,Extensions,,en-GB,STS,42.1,12/17/2018 12:12:00
https://mydepartment.brighton.ac.uk/cem/teaching/health,https://mydepartment.brighton.ac.uk/cem/teaching,Academic Health,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,128.98,12/14/2018 11:51:44
https://mydepartment.brighton.ac.uk/cem/teaching/KIS,https://mydepartment.brighton.ac.uk/cem/teaching,KIS,,en-GB,STS,0.81,12/05/2018 16:44
https://mydepartment.brighton.ac.uk/cem/teaching/LandTRes,https://mydepartment.brighton.ac.uk/cem/teaching,Learning and Teaching Resources,,en-GB,STS,15.13,03/15/2018 12:51:30
https://mydepartment.brighton.ac.uk/cem/teaching/LSP,https://mydepartment.brighton.ac.uk/cem/teaching,LSP,"A site for teams to organise and share information. It provides a document library and lists for managing announcements, calendar items, tasks and discussions.",en-GB,STS,0.76,12/20/2018 12:21:13
https://mydepartment.brighton.ac.uk/cem/teaching/MitCircs,https://mydepartment.brighton.ac.uk/cem/teaching,Mitigating Circumstances,,en-GB,STS,10.65,12/17/2018 11:51:37
https://mydepartment.brighton.ac.uk/cem/teaching/PT,https://mydepartment.brighton.ac.uk/cem/teaching,Personal Tutoring,,en-GB,STS,1.02,05/03/2018 14:13
https://mydepartment.brighton.ac.uk/cem/teaching/QACompliance,https://mydepartment.brighton.ac.uk/cem/teaching,QA and Compliance,,en-GB,STS,0.92,12/18/2018 09:32:56
https://mydepartment.brighton.ac.uk/cem/teaching/SchPriBur,https://mydepartment.brighton.ac.uk/cem/teaching,"Scholarships, Prizes and Bursaries",,en-GB,STS,0.68,10/17/2017 14:25:30
https://mydepartment.brighton.ac.uk/cem/teaching/SE,https://mydepartment.brighton.ac.uk/cem/teaching,Student Experience,,en-GB,STS,11.27,05/16/2018 08:27:15
